open_uuid,open_test_uuid,time_utc,cat_technology,network_type,lat,long,loc_src,loc_accuracy,region,municipality,settlement,whitespot,zip_code,download_kbit,upload_kbit,ping_ms,lte_rsrp,server_name,test_duration,num_threads,platform,model,client_version,network_mcc_mnc,network_name,sim_mcc_mnc,nat_type,asn,ip_anonym,ndt_download_kbit,ndt_upload_kbit,implausible,signal_strength,speed_test_duration_ms,cell_id,lac,tags,tcp_open,tcp_total,udp_open,udp_total,packet_loss_down,packet_loss_up,peak_down_kbit,peak_up_kbit
P36af9693-0eb4-493d-83f7-eeb3e4b9d3fc,O07ba6f8b-b127-4d46-96dd-b4ec5f9a4490,2014-11-03 15:23:40,WLAN,WLAN,,,,,,,,,,1116,342,,,CZ.NIC,7,3,Android,LGE Nexus 5,2.0.41,,,,nat_local_to_public_ipv4,6830,213.192.1,,,true,-87,3600000.0,267435655,8240,{111},,,,,,,,
P36af9693-0eb4-493d-83f7-eeb3e4b9d3fc,O71590357-31c9-40a1-86ac-1a802603f50b,2014-11-03 15:43:32,WLAN,WLAN,,,,,,,,,,1214,408,,,CZ.NIC,7,3,Android,LGE Nexus 5,2.0.41,,,,nat_local_to_public_ipv4,6830,213.192.1,,,true,-83,3600000.0,267435655,8240,{111},,,,,,,,
P67650e7b-bc7c-4f9d-a5de-8227ce0052ab,Od12b7a49-1725-40aa-8958-df394dd53968,2014-11-04 08:15:42,WLAN,WLAN,,,,,,,,,,1659,487,,,CZ.NIC,7,3,Android,LGE Nexus 5,2.0.41,,,,nat_local_to_public_ipv4,6830,213.192.1,,,true,-82,3600000.0,267435655,8240,{111},,,,,,,,
P67650e7b-bc7c-4f9d-a5de-8227ce0052ab,O79ad5d56-ee6a-4efe-9708-5d41b33a3248,2014-11-04 08:46:36,WLAN,WLAN,,,,,,,,,,1510,410,,,CZ.NIC,7,3,Android,LGE Nexus 5,2.0.41,,,,nat_local_to_public_ipv4,6830,213.192.1,,,true,-82,3600000.0,267441732,8240,{111},,,,,,,,
P67650e7b-bc7c-4f9d-a5de-8227ce0052ab,Oc976e01e-75ab-42a5-812a-bcef3c553bef,2014-11-04 08:52:48,WLAN,WLAN,,,,,,,,,,1317,397,,,CZ.NIC,7,3,Android,LGE Nexus 5,2.0.41,,,,nat_local_to_public_ipv4,6830,213.192.1,,,true,-81,3600000.0,267441732,8240,{111},,,,,,,,
P67650e7b-bc7c-4f9d-a5de-8227ce0052ab,O943d8053-d79f-4b39-b63a-36c489480752,2014-11-04 09:22:20,WLAN,WLAN,,,,,,,,,,775,431,,,CZ.NIC,7,3,Android,LGE Nexus 5,2.0.41,,,,nat_local_to_public_ipv4,6830,213.192.1,,,true,-79,3600000.0,267435655,8240,{111},,,,,,,,
P67650e7b-bc7c-4f9d-a5de-8227ce0052ab,O403ce345-804d-4233-976f-1ca2be887bc2,2014-11-04 10:18:23,WLAN,WLAN,,,,,,,,,,180,302,,,CZ.NIC,7,3,Android,LGE Nexus 5,2.0.41,,,,nat_local_to_public_ipv4,6830,213.192.1,,,true,-80,3600000.0,267435655,8240,{111},,,,,,,,
P67650e7b-bc7c-4f9d-a5de-8227ce0052ab,O529c00f2-09b0-4c9e-b1c0-2267016e0f01,2014-11-04 10:20:42,WLAN,WLAN,,,,,,,,,,1965,482,,,CZ.NIC,7,3,Android,LGE Nexus 5,2.0.41,,,,nat_local_to_public_ipv4,6830,213.192.1,,,true,-83,3600000.0,267435655,8240,{111},,,,,,,,
P67650e7b-bc7c-4f9d-a5de-8227ce0052ab,O5d9097e1-7154-4696-b29e-0208918ee974,2014-11-04 10:23:16,WLAN,WLAN,,,,,,,,,,1749,476,,,CZ.NIC,7,3,Android,LGE Nexus 5,2.0.41,,,,nat_local_to_public_ipv4,6830,213.192.1,,,true,-82,3600000.0,267435655,8240,{111},,,,,,,,
P67650e7b-bc7c-4f9d-a5de-8227ce0052ab,O390de962-e788-4aa9-ab21-9d4aeb27a13f,2014-11-04 11:42:45,WLAN,WLAN,,,,,,,,,,1471,304,,,CZ.NIC,7,3,Android,LGE Nexus 5,2.0.41,,,,nat_local_to_public_ipv4,6830,213.192.1,,,true,-82,3600000.0,267441732,8240,{111},,,,,,,,
P67650e7b-bc7c-4f9d-a5de-8227ce0052ab,Od267b5be-051d-424f-937d-4a361eacfd71,2014-11-04 11:44:23,WLAN,WLAN,,,,,,,,,,169,226,,,CZ.NIC,7,1,Android,LGE Nexus 5,2.0.41,,,,nat_local_to_public_ipv4,6830,213.192.1,,,true,-79,3600000.0,267441732,8240,{111},,,,,,,,
P67650e7b-bc7c-4f9d-a5de-8227ce0052ab,O82c12a9e-5af9-4371-be14-c38b778af118,2014-11-04 11:48:04,WLAN,WLAN,,,,,,,,,,952,310,,,CZ.NIC,7,1,Android,LGE Nexus 5,2.0.41,,,,nat_local_to_public_ipv4,6830,213.192.1,,,true,-82,3600000.0,267441732,8240,{111},,,,,,,,
P67650e7b-bc7c-4f9d-a5de-8227ce0052ab,O50cd40c0-964d-44dd-8d2f-ca8106422530,2014-11-04 11:52:41,WLAN,WLAN,,,,,,,,,,1479,372,,,CZ.NIC,7,3,Android,LGE Nexus 5,2.0.41,,,,nat_local_to_public_ipv4,6830,213.192.1,,,true,-82,3600000.0,267441732,8240,{111},,,,,,,,
P67650e7b-bc7c-4f9d-a5de-8227ce0052ab,O06f85c37-46d4-4f27-b138-2bbbcb2b5c01,2014-11-04 12:36:44,WLAN,WLAN,,,,,,,,,,1954,311,,,CZ.NIC,7,3,Android,LGE Nexus 5,2.0.41,,,,nat_local_to_public_ipv4,6830,213.192.1,,,true,-83,3600000.0,267425128,8240,{111},,,,,,,,
P67650e7b-bc7c-4f9d-a5de-8227ce0052ab,O06f85c37-46d4-4f27-b138-2bbbcb2b5c01,2014-11-04 12:36:44,WLAN,WLAN,,,,,,,,,,1954,311,,,CZ.NIC,7,3,Android,LGE Nexus 5,2.0.41,,,,nat_local_to_public_ipv4,6830,213.192.1,,,true,-83,3600000.0,267441732,8240,{111},,,,,,,,
P67650e7b-bc7c-4f9d-a5de-8227ce0052ab,O91432453-ad2b-4bb1-8533-9b72b52423fe,2014-11-04 12:42:09,WLAN,WLAN,,,,,,,,,,1881,461,,,CZ.NIC,7,3,Android,LGE Nexus 5,2.0.41,,,,nat_local_to_public_ipv4,6830,213.192.1,,,true,-82,3600000.0,267441732,8240,{111},,,,,,,,
P67650e7b-bc7c-4f9d-a5de-8227ce0052ab,O14dd77bc-32e1-494e-8d3c-947b3e1e1262,2014-11-04 12:45:40,WLAN,WLAN,,,,,,,,,,1405,410,,,CZ.NIC,7,3,Android,LGE Nexus 5,2.0.41,,,,nat_local_to_public_ipv4,6830,213.192.1,,,true,-83,3600000.0,267441732,8240,{111},,,,,,,,
P67650e7b-bc7c-4f9d-a5de-8227ce0052ab,O07f86a4e-caa1-44a5-bd21-11a3f64386af,2014-11-04 13:27:52,WLAN,WLAN,,,,,,,,,,1619,489,,,CZ.NIC,7,3,Android,LGE Nexus 5,2.0.41,,,,nat_local_to_public_ipv4,6830,213.192.1,,,true,-83,3600000.0,267441732,8240,{111},,,,,,,,
P67650e7b-bc7c-4f9d-a5de-8227ce0052ab,Oc749b529-63df-40c7-ba15-5ec8d091d4f1,2014-11-04 13:30:28,WLAN,WLAN,,,,,,,,,,1967,432,,,CZ.NIC,7,3,Android,LGE Nexus 5,2.0.41,,,,nat_local_to_public_ipv4,6830,213.192.1,,,true,-82,3600000.0,267435655,8240,{111},,,,,,,,
P67650e7b-bc7c-4f9d-a5de-8227ce0052ab,Oc749b529-63df-40c7-ba15-5ec8d091d4f1,2014-11-04 13:30:28,WLAN,WLAN,,,,,,,,,,1967,432,,,CZ.NIC,7,3,Android,LGE Nexus 5,2.0.41,,,,nat_local_to_public_ipv4,6830,213.192.1,,,true,-82,3600000.0,267425128,8240,{111},,,,,,,,
P67650e7b-bc7c-4f9d-a5de-8227ce0052ab,Oa3a0bc32-d032-4748-b927-b1eaf7118bf8,2014-11-04 13:38:50,WLAN,WLAN,,,,,,,,,,1817,422,,,CZ.NIC,7,3,Android,LGE Nexus 5,2.0.41,,,,nat_local_to_public_ipv4,6830,213.192.1,,,true,-85,3600000.0,267435655,8240,{111},,,,,,,,
P67650e7b-bc7c-4f9d-a5de-8227ce0052ab,O2b63a4c3-9f50-4f52-afe5-aa8fdb18de3d,2014-11-04 13:40:33,WLAN,WLAN,,,,,,,,,,1972,522,,,CZ.NIC,7,3,Android,LGE Nexus 5,2.0.41,,,,nat_local_to_public_ipv4,6830,213.192.1,,,true,-81,3600000.0,267435655,8240,"{111,362}",,,,,,,,
P67650e7b-bc7c-4f9d-a5de-8227ce0052ab,Oa9c63a25-d9cf-48b1-86ee-2be8fd6612af,2014-11-04 13:41:49,WLAN,WLAN,,,,,,,,,,1451,490,,,CZ.NIC,7,3,Android,LGE Nexus 5,2.0.41,,,,nat_local_to_public_ipv4,6830,213.192.1,,,true,-82,3600000.0,267435655,8240,{111},,,,,,,,
P67650e7b-bc7c-4f9d-a5de-8227ce0052ab,O1de1f37e-9d15-4144-b8a4-43996d36894c,2014-11-04 13:53:04,WLAN,WLAN,,,,,,,,,,1905,484,,,CZ.NIC,7,3,Android,LGE Nexus 5,2.0.41,,,,nat_local_to_public_ipv4,6830,213.192.1,,,true,-80,3600000.0,267435655,8240,{111},,,,,,,,
P67650e7b-bc7c-4f9d-a5de-8227ce0052ab,O5647b0e5-c103-4606-84b7-1d400835b9ec,2014-11-04 14:01:27,WLAN,WLAN,,,,,,,,,,1722,405,,,CZ.NIC,7,3,Android,LGE Nexus 5,2.0.41,,,,nat_local_to_public_ipv4,6830,213.192.1,,,true,-83,3600000.0,267435655,8240,{111},,,,,,,,
P67650e7b-bc7c-4f9d-a5de-8227ce0052ab,O2f2b0b9f-2a4b-4e13-b24d-539009fec0a8,2014-11-04 14:05:14,WLAN,WLAN,,,,,,,,,,1713,427,,,CZ.NIC,7,1,Android,LGE Nexus 5,2.0.41,,,,nat_local_to_public_ipv4,6830,213.192.1,,,true,-84,3600000.0,267435655,8240,{111},,,,,,,,
P67650e7b-bc7c-4f9d-a5de-8227ce0052ab,Oe88048af-beb9-404f-b092-b67c843b56fa,2014-11-04 14:09:16,WLAN,WLAN,,,,,,,,,,1686,563,,,CZ.NIC,7,3,Android,LGE Nexus 5,2.0.41,,,,nat_local_to_public_ipv4,6830,213.192.1,,,true,-84,3600000.0,267435655,8240,{111},,,,,,,,
P67650e7b-bc7c-4f9d-a5de-8227ce0052ab,O42f4475a-c9c1-4945-9a22-4c43aeb4d34b,2014-11-04 14:47:17,WLAN,WLAN,,,,,,,,,,1969,486,,,CZ.NIC,7,3,Android,LGE Nexus 5,2.0.41,,,,nat_local_to_public_ipv4,6830,213.192.1,,,true,-82,3600000.0,267441732,8240,{111},,,,,,,,
